Team Number, Discovery, Team Spirit,Integration, Efficiency, Effectivness,Kids Do The Work, Inclusion, Respect, Coopertition, Inspiration Total,Teamwork Total, Gracious Professionalism Total, Core Values Grand Total
7171,2,1,4,3,4,4,1,2,4,7,11,7,25
2733,3,1,3,4,3,4,4,4,2,7,11,10,28
1488,2,1,2,4,4,3,1,1,3,5,11,5,21
9688,3,2,2,3,3,4,4,3,2,7,10,9,26
9683,2,3,4,4,2,4,2,2,3,9,10,7,26
1551,1,4,1,3,3,4,3,3,2,6,10,8,24
7710,2,2,2,4,4,2,4,2,1,6,10,7,23
1215,3,3,1,4,4,2,2,3,4,7,10,9,26
8065,4,3,1,3,2,4,3,4,4,8,9,11,28
8988,2,2,2,4,1,4,2,2,4,6,9,8,23
7903,3,1,3,4,3,2,2,2,2,7,9,6,22
10164,4,2,1,3,3,3,2,4,1,7,9,7,23
2178,2,1,2,4,2,3,3,1,4,5,9,8,22
9382,1,3,1,1,4,4,4,4,4,5,9,12,26
8774,2,2,1,4,2,3,1,3,4,5,9,8,22
7108,3,3,1,2,3,4,3,2,1,7,9,6,22
3277,1,1,1,3,4,2,1,2,4,3,9,7,19
3646,4,4,4,3,2,3,1,3,3,12,8,7,27
1685,4,4,1,3,4,1,4,4,4,9,8,12,29
5967,1,4,4,1,4,3,2,1,2,9,8,5,22
5001,1,4,4,1,4,3,3,3,3,9,8,9,26
4528,4,4,3,3,4,1,2,2,2,11,8,6,25
2750,3,3,2,2,2,4,2,4,3,8,8,9,25
4230,3,1,4,2,3,3,1,3,3,8,8,7,23
1150,3,1,4,2,4,2,3,1,4,8,8,8,24
6473,4,3,1,3,3,2,2,3,1,8,8,6,22
3627,4,2,4,1,3,4,1,4,3,10,8,8,26
6237,3,3,4,4,1,3,2,4,4,10,8,10,28
6417,4,2,3,3,4,1,4,4,2,9,8,10,27
3454,2,4,3,4,2,1,4,3,3,9,7,10,26
7019,2,2,3,4,1,2,4,3,3,7,7,10,24
5515,4,4,3,4,1,2,2,2,1,11,7,5,23
1350,1,2,3,2,3,2,4,4,1,6,7,9,22
6251,2,2,2,1,4,2,4,1,3,6,7,8,21
5928,3,1,2,2,3,2,4,1,3,6,7,8,21
9436,4,3,3,2,3,2,4,1,2,10,7,7,24
7949,1,1,3,2,3,2,3,1,2,5,7,6,18
10572,4,4,4,3,1,3,2,3,3,12,7,8,27
7896,4,2,4,1,3,3,3,3,1,10,7,7,24
7908,1,2,2,2,4,1,1,2,1,5,7,4,16
5988,3,3,4,2,3,2,2,3,1,10,7,6,23
2480,1,1,1,2,4,1,1,1,4,3,7,6,16
8894,4,3,2,4,2,1,3,3,2,9,7,8,24
10115,1,4,3,2,1,3,4,2,2,8,6,8,22
5999,2,4,3,4,1,1,4,1,2,9,6,7,22
4309,2,3,2,1,1,4,1,2,2,7,6,5,18
7103,2,3,4,1,2,3,3,4,3,9,6,10,25
7833,3,2,3,1,1,4,4,2,2,8,6,8,22
4257,4,1,2,3,2,1,1,4,4,7,6,9,22
4228,2,1,2,3,2,1,3,1,1,5,6,5,16
6579,3,1,1,3,2,1,1,4,1,5,6,6,17
3618,1,4,1,1,1,4,1,2,3,6,6,6,18
1270,1,3,4,1,1,4,3,4,1,8,6,8,22
4503,2,3,1,1,2,2,3,1,4,6,5,8,19
10381,4,1,3,2,2,1,1,2,1,8,5,4,17
6694,3,2,2,1,1,3,1,3,1,7,5,5,17
1782,4,4,4,2,2,1,3,4,4,12,5,11,28
3999,3,4,1,1,1,3,2,1,3,8,5,6,19
4972,2,2,2,2,1,1,3,1,1,6,4,5,15
3899,1,4,3,1,1,1,2,1,2,8,3,5,16
