Team Number, Problem Identification, Sources of Information,Problem Analysis, Review Existing Solutions, Team Solutions, Innovation,Implementation, Sharing, Creativity, Presentation Effectiveness, Research Total,Innovative Solutions Total, Presentation Total, Project Grand Total
5001,2,3,4,1,4,4,3,4,4,4,10,11,12,33
8774,3,2,1,2,4,3,3,4,4,4,8,10,12,30
7833,3,1,2,4,4,2,2,4,4,4,10,8,12,30
1551,2,1,2,1,4,2,4,4,4,3,6,10,11,27
4228,2,2,4,4,1,1,4,4,4,3,12,6,11,29
8894,2,4,3,3,4,1,1,4,4,3,12,6,11,29
6694,3,4,3,3,3,1,2,4,4,3,13,6,11,30
3646,4,2,3,1,4,1,2,4,4,2,10,7,10,27
5988,1,1,1,1,3,3,1,4,4,2,4,7,10,21
7710,1,1,1,1,1,2,4,4,4,2,4,7,10,21
7103,1,2,2,1,3,4,4,4,4,2,6,11,10,27
4972,1,4,4,2,2,4,4,3,3,4,11,10,10,31
1150,2,4,1,1,4,4,2,4,4,2,8,10,10,28
10381,1,4,3,2,1,3,2,3,3,4,10,6,10,26
9688,4,1,3,4,1,2,1,3,3,4,12,4,10,26
3277,1,4,3,4,2,2,3,3,3,3,12,7,9,28
7896,2,2,2,3,4,3,4,4,4,1,9,11,9,29
1270,1,1,4,3,3,4,2,3,3,3,9,9,9,27
8988,3,2,2,4,2,3,4,3,3,3,11,9,9,29
10164,3,3,3,4,3,2,4,3,3,3,13,9,9,31
7108,2,2,1,4,2,4,4,4,4,1,9,10,9,28
2733,1,1,1,1,3,1,4,4,4,1,4,8,9,21
10572,3,3,2,3,2,3,2,3,3,3,11,7,9,27
2178,2,3,2,3,1,1,3,3,3,3,10,5,9,24
5967,4,1,3,3,1,3,3,3,3,3,11,7,9,27
7949,1,1,4,4,4,2,1,3,3,2,10,7,8,25
6417,4,4,3,2,2,4,4,2,2,4,13,10,8,31
4503,2,4,3,4,4,4,3,2,2,4,13,11,8,32
4257,1,3,4,1,4,1,1,2,2,4,9,6,8,23
5999,4,3,1,2,1,4,1,2,2,4,10,6,8,24
4309,1,2,4,3,1,3,1,2,2,4,10,5,8,23
1685,4,3,2,1,1,3,3,2,2,4,10,7,8,25
3999,3,2,4,4,3,3,4,3,3,2,13,10,8,31
4230,4,2,3,2,3,4,3,2,2,3,11,10,7,28
7903,2,3,2,4,3,2,1,2,2,3,11,6,7,24
8065,3,4,4,3,2,1,2,3,3,1,14,5,7,26
1215,3,3,1,2,4,3,1,3,3,1,9,8,7,24
5515,3,4,4,3,2,1,3,2,2,3,14,6,7,27
1488,1,2,4,1,2,3,1,3,3,1,8,6,7,21
3627,4,4,2,3,3,4,2,1,1,4,13,9,6,28
1350,1,3,1,1,2,4,3,1,1,4,6,9,6,21
3899,2,3,2,4,4,3,1,1,1,4,11,8,6,25
6473,4,4,1,2,3,4,3,2,2,2,11,10,6,27
4528,2,4,3,1,1,1,4,2,2,2,10,6,6,22
10115,1,1,3,1,2,2,3,2,2,2,6,7,6,19
9436,4,4,3,3,1,2,1,2,2,2,14,4,6,24
1782,2,3,3,3,1,1,4,1,1,3,11,6,5,22
7171,4,1,2,2,1,2,2,2,2,1,9,5,5,19
6251,4,2,1,3,2,1,1,2,2,1,10,4,5,19
7908,4,2,4,2,1,2,1,1,1,2,12,4,4,20
6237,3,3,4,4,3,4,3,1,1,2,14,10,4,28
2750,3,1,4,1,3,1,2,1,1,2,9,6,4,19
7019,3,4,2,2,3,2,2,1,1,2,11,7,4,22
2480,2,3,1,2,4,3,2,1,1,1,8,9,3,20
6579,1,1,1,2,3,1,2,1,1,1,5,6,3,14
3454,4,1,2,2,2,1,3,1,1,1,9,6,3,18
9382,3,1,1,3,1,3,3,1,1,1,8,7,3,18
3618,3,2,4,4,4,2,2,1,1,1,13,8,3,24
5928,4,3,2,4,2,2,1,1,1,1,13,5,3,21
9683,2,2,1,2,2,4,4,1,1,1,7,10,3,20
